date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:51	355792/355792	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/c0dcdb72-3a1a-4d58-86b0-ccb66b016b2f/72d42b94-78c2-407b-8871-7af298656c66/1280x720/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/c0dcdb72-3a1a-4d58-86b0-ccb66b016b2f/72d42b94-78c2-407b-8871-7af298656c66/1280x720/match/image.jpg	(from https://www.iplt20.com/video/56784/m54-lsg-vs-kkr--angelone-super-6-of-the-match--sunil-narine?tagNames=2024)
11:51:53	215368/215368	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:52%20GMT	https://www.iplt20.com/video/56785/m54-lsg-vs-kkr--rupay-on-the-go-4s-of-the-match--sunil-narine	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/56785/m54-lsg-vs-kkr--rupay-on-the-go-4s-of-the-match--sunil-narine.html	(from https://www.iplt20.com/video/56785/m54-lsg-vs-kkr--rupay-on-the-go-4s-of-the-match--sunil-narine?tagNames=2024)
11:51:54	365277/365277	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/d4a3df36-deec-4f86-96c1-9660ab7c538e/c7a969f8-53b2-4f6b-a900-16563c83e1d8/1280x720/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/d4a3df36-deec-4f86-96c1-9660ab7c538e/c7a969f8-53b2-4f6b-a900-16563c83e1d8/1280x720/match/image.jpg	(from https://www.iplt20.com/video/56785/m54-lsg-vs-kkr--rupay-on-the-go-4s-of-the-match--sunil-narine?tagNames=2024)
11:51:54	285929/285929	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jan%202016%2000:00:00%20GMT	https://cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/d4a3df36-deec-4f86-96c1-9660ab7c538e/c7a969f8-53b2-4f6b-a900-16563c83e1d8/1200x627/match/image.jpg	C:/My%20Web%20Sites/ipl/cf-images.eu-west-1.prod.boltdns.net/v1/static/3588749423001/d4a3df36-deec-4f86-96c1-9660ab7c538e/c7a969f8-53b2-4f6b-a900-16563c83e1d8/1200x627/match/image.jpg	(from https://www.iplt20.com/video/56785/m54-lsg-vs-kkr--rupay-on-the-go-4s-of-the-match--sunil-narine?tagNames=2024)
11:51:56	215304/215304	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:54%20GMT	https://www.iplt20.com/video/56782/m54-lsg-vs-kkr--my11circle-ultimate-fantasy-player-of-the-match--sunil-narine	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/56782/m54-lsg-vs-kkr--my11circle-ultimate-fantasy-player-of-the-match--sunil-narine.html	(from https://www.iplt20.com/video/56782/m54-lsg-vs-kkr--my11circle-ultimate-fantasy-player-of-the-match--sunil-narine?tagNames=2024)
11:51:56	156365/156365	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20May%202024%2017:24:57%20GMT	https://brightcove.iplt20.com/output/input/6352372939112-1715016294.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6352372939112-1715016294.jpg	(from https://www.iplt20.com/video/56782/m54-lsg-vs-kkr--my11circle-ultimate-fantasy-player-of-the-match--sunil-narine?tagNames=2024)
11:51:58	214912/214912	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:57%20GMT	https://www.iplt20.com/video/56778/m54-lsg-vs-kkr--player-of-the-match--sunil-narine	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/56778/m54-lsg-vs-kkr--player-of-the-match--sunil-narine.html	(from https://www.iplt20.com/video/56778/m54-lsg-vs-kkr--player-of-the-match--sunil-narine?tagNames=2024)
11:51:58	163992/163992	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20May%202024%2016:37:38%20GMT	https://brightcove.iplt20.com/output/input/6352373407112-1715013455.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6352373407112-1715013455.jpg	(from https://www.iplt20.com/video/56778/m54-lsg-vs-kkr--player-of-the-match--sunil-narine?tagNames=2024)
11:52:07	215166/215166	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:21:59%20GMT	https://www.iplt20.com/video/56704/stepped-on-ropes-dropped-caught-narine-doesnt-get-lucky-third-time	C:/My%20Web%20Sites/ipl/www.iplt20.com/video/56704/stepped-on-ropes-dropped-caught-narine-doesnt-get-lucky-third-time.html	(from https://www.iplt20.com/video/56704/stepped-on-ropes-dropped-caught-narine-doesnt-get-lucky-third-time?tagNames=2024)
11:52:07	83406/83406	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20May%202024%2018:25:17%20GMT	https://brightcove.iplt20.com/output/input/6352367177112-1714933514.jpg	C:/My%20Web%20Sites/ipl/brightcove.iplt20.com/output/input/6352367177112-1714933514.jpg	(from https://www.iplt20.com/video/56704/stepped-on-ropes-dropped-caught-narine-doesnt-get-lucky-third-time?tagNames=2024)
